feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,Magnitude
3,2.456523567,0.024630262,0.007206916,0.006629875,0.001933517,0.000524015,0.094519658,13,3,9,154,173,-9.955988693,0.128530374,0.010928234,0.146201372,0.058333183,1.82E-07,1.19E-06,6.5
0.010135135,0.691852819,0.024653072,0.263666286,0.021644487,0.00590254,0.000401469,0.542255316,41,45,132,26,249,-6.590325909,0.068393526,0.033163108,0.461661343,0.05171694,1.33E-07,1.10E-05,4.5
0.010033445,1.707634918,3.087409596,0.776499659,1.779355245,0.026097983,0.008043326,0.630406432,278,286,287,57,88,-5.172457337,0.260115471,0.232296836,3.300758208,0.820521185,3.98E-05,0.000539282,6.5
1.5,3.132022148,685.7289871,2803.413203,901.2775797,0.397004185,0.206709198,4.089381215,199,215,249,251,299,-0.189122398,0.609982472,3.687341178,55.24145762,26.4778438,0.033678716,0.135539416,7
0.75,0.991426023,96.66152084,68.91668802,72.19339592,0.308270487,0.048547767,4.31184036,150,293,299,90,100,-0.394054297,0.449209719,2.074105506,28.24758841,4.484854567,0.001069519,0.042956393,6.5
0.010067114,1.132813651,5.6128901,60.36992924,103.7642839,0.05734671,0.010615696,0.532600439,259,38,210,287,256,-4.491881998,0.676529684,0.407227408,5.416480476,0.952126418,5.35E-05,0.001646611,6.7
1.5,3.265957547,0.045810765,1.490794472,0.113233376,0.002754133,0.001664226,0.052781936,193,202,3,238,299,-9.318345538,0.327853273,0.028442885,0.443435403,0.215624922,2.18E-06,8.06E-06,4.2
0.01,2.37089361,46.23893761,13.02946956,12.93626277,0.167846652,0.051823512,1.08904797,221,78,143,112,140,-2.094039424,0.968379396,1.306089433,18.19215395,7.109431554,0.002428429,0.017055365,6.6
0.107142857,0.339867212,0.552384305,0.504322045,0.580537671,0.026204915,0.001152183,1.987811648,56,65,188,58,165,-3.579768157,0.082829949,0.154814719,2.089944816,0.117949627,7.01E-07,0.000239649,4.5
0.010204082,0.689069611,22.65950622,3.978254197,14.41972715,0.207447043,0.015606892,5.59657378,245,217,286,235,179,-0.257584132,0.232897531,1.021980308,13.65144276,1.465126307,0.000125572,0.010440644,6.7
1.5,3.183804628,0.1506231,0.016819037,0.012999115,0.00459688,0.003019151,0.035214529,24,22,23,297,299,-8.978497275,0.820202578,0.048577881,0.748858418,0.352294559,6.03E-06,2.35E-05,3.6
1.5,3.027671057,4.98213096,263.8791775,137.4377761,0.037139243,0.017034872,0.527955146,186,173,299,235,299,-4.217974149,0.441993508,0.315081329,4.805835306,2.208465517,0.000229963,0.000990378,6.5
1.5,3.189381989,0.190287574,1.245945257,1.293345913,0.005431934,0.003211326,0.084332202,5,235,143,291,299,-8.005441592,0.404707184,0.052355208,0.811126594,0.381516592,7.03E-06,2.73E-05,6
